"","group","s__Methanobrevibacter_smithii","s__Actinobaculum_massiliense","s__Actinomyces_europaeus","s__Actinomyces_neuii","s__Actinomyces_radingae","s__Actinomyces_turicensis","s__Actinotignum_schaalii","s__Actinotignum_timonense","s__Adlercreutzia_equolifaciens","s__Aeriscardovia_aeriphila","s__Aerococcus_christensenii","s__Aerococcus_sanguinicola","s__Aerococcus_urinae","s__Alistipes_putredinis","s__Alloscardovia_omnicolens","s__Anaerococcus_hydrogenalis","s__Anaerococcus_lactolyticus","s__Anaerococcus_nagyae","s__Anaerococcus_octavius","s__Anaerococcus_prevotii","s__Anaerococcus_vaginalis","s__Anaeroglobus_geminatus","s__Anaerostipes_hadrus","s__Asaccharobacter_celatus","s__Atopobium_deltae","s__Atopobium_minutum","s__Atopobium_parvulum","s__Atopobium_rimae","s__Atopobium_vaginae","s__Bacteroides_caccae","s__Bacteroides_coagulans","s__Bacteroides_fragilis","s__Bacteroides_uniformis","s__Bacteroides_vulgatus","s__Bifidobacterium_breve","s__Bifidobacterium_dentium","s__Bifidobacterium_longum","s__Bifidobacterium_pseudocatenulatum","s__Blautia_obeum","s__Blautia_wexlerae","s__Brevibacterium_ravenspurgense","s__Campylobacter_hominis","s__Campylobacter_ureolyticus","s__Collinsella_aerofaciens","s__Corynebacterium_afermentans","s__Corynebacterium_amycolatum","s__Corynebacterium_aurimucosum","s__Corynebacterium_coyleae","s__Corynebacterium_frankenforstense","s__Corynebacterium_glucuronolyticum","s__Corynebacterium_imitans","s__Corynebacterium_kefirresidentii","s__Corynebacterium_pseudogenitalium","s__Corynebacterium_pyruviciproducens","s__Corynebacterium_riegelii","s__Corynebacterium_simulans","s__Corynebacterium_sp_NML130628","s__Corynebacterium_sp_NML140438","s__Corynebacterium_striatum","s__Corynebacterium_tuberculostearicum","s__Corynebacterium_tuscaniense","s__Corynebacterium_urealyticum","s__Criibacterium_bergeronii","s__Cutibacterium_avidum","s__Dermabacter_hominis","s__Dialister_invisus","s__Dialister_micraerophilus","s__Dialister_pneumosintes","s__Dorea_longicatena","s__Dorea_sp_CAG_317","s__Eggerthella_lenta","s__Enterococcus_faecalis","s__Escherichia_coli","s__Eubacterium_eligens","s__Eubacterium_hallii","s__Eubacterium_rectale","s__Facklamia_hominis","s__Facklamia_ignava","s__Facklamia_languida","s__Faecalibacterium_prausnitzii","s__Finegoldia_magna","s__Fusobacterium_nucleatum","s__Gardnerella_vaginalis","s__Gemella_asaccharolytica","s__Globicatella_sanguinis","s__Gordonibacter_pamelaeae","s__Klebsiella_pneumoniae","s__Klebsiella_quasipneumoniae","s__Klebsiella_variicola","s__Kocuria_kristinae","s__Lactobacillus_coleohominis","s__Lactobacillus_crispatus","s__Lactobacillus_gasseri","s__Lactobacillus_iners","s__Lactobacillus_jensenii","s__Lactobacillus_paragasseri","s__Lactobacillus_rhamnosus","s__Lactobacillus_vaginalis","s__Lawsonella_clevelandensis","s__Megasphaera_micronuciformis","s__Mobiluncus_curtisii","s__Negativicoccus_succinicivorans","s__Oligella_urethralis","s__Parvimonas_micra","s__Peptococcus_niger","s__Peptoniphilus_coxii","s__Peptoniphilus_duerdenii","s__Peptoniphilus_harei","s__Peptoniphilus_lacrimalis","s__Peptoniphilus_sp_BV3C26","s__Peptoniphilus_sp_DNF00840","s__Peptoniphilus_sp_HMSC062D09","s__Peptostreptococcus_anaerobius","s__Porphyromonas_asaccharolytica","s__Porphyromonas_sp_HMSC065F10","s__Porphyromonas_uenonis","s__Prevotella_bergensis","s__Prevotella_bivia","s__Prevotella_buccalis","s__Prevotella_colorans","s__Prevotella_corporis","s__Prevotella_disiens","s__Prevotella_sp_S7_1_8","s__Prevotella_timonensis","s__Propionimicrobium_lymphophilum","s__Pseudoglutamicibacter_albus","s__Pseudoglutamicibacter_cumminsii","s__Rothia_mucilaginosa","s__Ruminococcus_bromii","s__Ruminococcus_gnavus","s__Slackia_exigua","s__Staphylococcus_aureus","s__Staphylococcus_epidermidis","s__Staphylococcus_haemolyticus","s__Staphylococcus_hominis","s__Staphylococcus_lugdunensis","s__Staphylococcus_pasteuri","s__Staphylococcus_pettenkoferi","s__Staphylococcus_simulans","s__Staphylococcus_warneri","s__Streptococcus_agalactiae","s__Streptococcus_anginosus_group","s__Streptococcus_gordonii","s__Streptococcus_infantis","s__Streptococcus_mitis","s__Streptococcus_oralis","s__Streptococcus_parasanguinis","s__Streptococcus_salivarius","s__Streptococcus_sp_HMSC034E03","s__Streptococcus_thermophilus","s__Streptococcus_vestibularis","s__Trueperella_bernardiae","s__Ureaplasma_parvum","s__Varibaculum_cambriense","s__Veillonella_atypica","s__Veillonella_parvula","s__Veillonellaceae_bacterium_DNF00626","s__Candida_albicans","s__Malassezia_globosa","s__Acinetobacter_phage_Bphi_B1251","s__Alcelaphine_gammaherpesvirus_1","s__Ateline_gammaherpesvirus_3","s__Betapapillomavirus_1","s__Cyprinid_herpesvirus_3","s__Enterococcus_phage_EF62phi","s__Enterococcus_phage_phiEf11","s__Erwinia_phage_ENT90","s__Escherichia_virus_P1","s__Human_endogenous_retrovirus_K","s__Human_polyomavirus_1","s__Human_polyomavirus_5","s__Lactobacillus_phage_phiadh","s__Microbacterium_phage_Min1","s__Phage_Gifsy_1","s__Phage_Gifsy_2","s__Pseudomonas_phage_Lu11","s__Salmonella_phage_Fels_1","s__Staphylococcus_phage_2638A","s__Staphylococcus_phage_StB27","s__Streptococcus_phage_phiNJ2"
"1",1,73022,24806,889,0,255,6353,0,906,8608,0,0,0,0,7510,0,6590,0,0,0,3654,5597,0,82428,8104,0,2147,0,0,0,0,0,11191,25544,7120,0,0,0,0,27288,38047,0,0,0,101872,0,9304,25529,0,0,0,0,0,1903,35436,0,19920,160,0,0,0,0,0,0,0,278,0,391,0,3222,3908,981,1150,1455,16823,16766,486,3513,0,0,44456,143643,1162,0,0,0,1861,637,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,1389,0,842,1091,2696,1028,40133,2111,0,0,0,0,0,0,0,0,0,305,0,0,0,0,20781,462,0,0,957,101187,0,0,0,16402,6673,0,531,0,0,0,0,0,224412,0,0,7336,13398,0,2276,294,35982,24446,0,0,19142,0,6359,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"2",1,0,1233,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661,0,0,0,4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,19696,14766,854,0,0,1336,0,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,135687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22478,0,0,0,0,0,0,0,0,195693,0,0,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,604,0,0,9961472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41971,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0,819830,582,0,0,1720,0,672364,0,0,0,7946,759970,0,0,0,731879,0,0,1626,7167,0,0,0,0,40805,0,0,17323,0,1011,0,0,0,0,0,0,0,0,0,0,0,108714,0,0,0,0,0,0,0,0,0,0,25568,0,0,1134,5830,0,0,0,0,0,0,0,0,11030,0,0,0,0,0,0,0,0,0,115855,362368,0,0,46164,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6042,0,0,0,0,0,0,96161,27705,543866,2075,0,240,0,0,0,78561,0,0,0,1481063,0,0,0,0,26019,608895,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
"5",1,0,0,3588,3951,14665,0,382,0,0,0,0,0,2169,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3682,754896,0,29631,0,0,0,0,0,0,0,1220,1799,0,0,0,0,0,265,217865,1453,0,0,0,0,0,0,0,841529,0,0,0,0,0,4052,1582,0,0,0,0,0,0,0,0,0,0,819,0,1171,0,0,0,251,0,0,30752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146958,2231,0,0,0,0,0,0,0,2016,0,0,0,2361,0,0,0,0,0,0,0,94525,0,0,0,0,0,0,0,0,7,73,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,21349,119,42521,48173,0,2999,0,0,0,903,29901,0,0,372,936,0,0,918,6053,0,0,0,13705,87820,0,0,0,0,26178,0,0,0,13664,0,0,0,0,0,0,0,15654,0,0,18730,26349,192244,0,0,115,0,0,64413,14473,71177,0,0,0,0,0,0,8163,1596,1348,0,36753,0,0,0,0,0,0,0,0,0,74623,55299,667,0,749273,43284,33865728,0,0,0,0,0,0,2399,0,8524074,0,3464692,0,3675,0,0,11012,0,1283,1034,2479,0,648,278996,12030,680680,51728,1109,0,10974,6144,76,41611,0,0,71886,357192,7515,0,314257,1103,129263,489326,0,0,0,0,0,0,0,0,13787,0,0,0,0,65,832,1804,147436,0,0,0,0,0,0,0,0,0,12821,0,171874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
"7",1,0,0,0,120,0,0,0,442073,0,278,0,0,8016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4616962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347156,0,469,0,0,0,0,0,0,0,0,0,0,4020,0,0,0,0,0,0,0,0,0,2086,0,0,0,34528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,12819,306,0,0,1328,0,0,321,0,0,0,13795,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,10491,0,0,0,0,0,0,0,497706,0,0,0,0,0,0,0,0,0,0,0,7320,0,588,0,0,0,0,0,0,0,0,70,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"8",1,0,541,0,0,0,0,0,0,0,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12421267,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,4483419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854139,0,0,0,91,0,0,102,0,0,0,0,0,0,132157,0,0,0,0,0,0,0,0
"9",1,0,0,23606,0,0,0,15184,689,0,0,0,81839,25391,0,0,25,0,0,251,62258,18211,0,0,0,0,230,0,0,0,0,50438,0,0,0,0,0,0,0,0,0,0,0,282607,0,0,22872,71592,15093,0,0,0,0,650,74077,0,0,10424,56748,0,1947,0,0,0,0,15629,0,0,0,0,0,0,52318,0,0,0,0,700416,400763,0,0,329662,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6311,0,0,0,153165,7813,403107,22155,0,0,615,0,0,0,0,0,0,0,0,0,0,0,859,39621,0,0,0,0,0,0,0,7714,444724,2123,0,0,1167,62649,0,0,0,0,193219,558316,55325,0,0,0,0,0,125616,0,80226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,44312275,0,0,100045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
